iter	Passed	Remaining
0	139	139534
1	141	70626
2	142	47412
3	144	35884
4	145	28892
5	146	24239
6	147	20895
7	148	18396
8	149	16454
9	150	14899
10	151	13627
11	152	12584
12	153	11684
13	154	10916
14	155	10236
15	156	9643
16	158	9141
17	159	8683
18	160	8272
19	161	7897
20	162	7556
21	163	7247
22	163	6962
23	165	6710
24	165	6472
25	166	6251
26	167	6044
27	168	5852
28	169	5675
29	170	5510
30	171	5366
31	172	5225
32	173	5090
33	174	4960
34	175	4837
35	176	4722
36	177	4612
37	178	4508
38	179	4417
39	180	4326
40	181	4238
41	182	4153
42	183	4073
43	184	3998
44	185	3929
45	186	3868
46	187	3800
47	188	3735
48	189	3673
49	190	3612
50	191	3554
51	191	3497
52	192	3442
53	193	3395
54	194	3345
55	195	3296
56	196	3250
57	197	3208
58	198	3167
59	199	3126
60	200	3089
61	202	3059
62	203	3021
63	204	2984
64	204	2948
65	205	2913
66	206	2878
67	207	2845
68	208	2814
69	209	2783
70	210	2753
71	211	2726
72	212	2697
73	213	2670
74	214	2642
75	215	2616
76	216	2591
77	217	2566
78	218	2542
79	219	2518
80	220	2496
81	220	2472
82	221	2445
83	222	2423
84	223	2402
85	224	2384
86	225	2364
87	226	2346
88	227	2327
89	228	2307
90	229	2288
91	229	2269
92	231	2256
93	232	2239
94	233	2222
95	234	2205
96	235	2188
97	235	2171
98	236	2155
99	237	2141
100	239	2127
101	239	2112
102	240	2097
103	241	2081
104	242	2066
105	243	2051
106	244	2036
107	244	2022
108	245	2009
109	246	1996
110	247	1983
111	248	1970
112	249	1957
113	250	1943
114	250	1931
115	251	1919
116	252	1906
117	253	1895
118	254	1883
119	255	1871
120	256	1859
121	256	1847
122	257	1836
123	258	1825
124	259	1814
125	260	1804
126	260	1792
127	261	1783
128	262	1773
129	263	1763
130	264	1753
131	265	1743
132	265	1733
133	266	1724
134	267	1715
135	268	1706
136	269	1697
137	270	1689
138	271	1680
139	272	1672
140	273	1665
141	274	1655
142	274	1647
143	276	1641
144	276	1633
145	278	1626
146	278	1618
147	279	1610
148	280	1602
149	281	1595
150	282	1587
151	283	1580
152	284	1573
153	285	1570
154	286	1562
155	287	1555
156	288	1548
157	289	1541
158	290	1533
159	291	1527
160	291	1519
161	292	1512
162	293	1505
163	294	1498
164	294	1492
165	295	1485
166	296	1478
167	297	1472
168	298	1466
169	299	1460
170	300	1454
171	300	1448
172	301	1442
173	302	1436
174	303	1430
175	304	1425
176	305	1419
177	306	1414
178	307	1408
179	307	1403
180	308	1397
181	309	1391
182	310	1386
183	311	1380
184	312	1375
185	313	1371
186	314	1366
187	315	1361
188	316	1356
189	316	1350
190	317	1345
191	318	1340
192	319	1335
193	320	1331
194	321	1326
195	322	1321
196	323	1316
197	323	1311
198	324	1306
199	325	1301
200	326	1297
201	327	1292
202	328	1288
203	328	1283
204	329	1278
205	330	1274
206	331	1269
207	332	1265
208	333	1261
209	334	1256
210	334	1252
211	335	1248
212	336	1243
213	337	1239
214	338	1235
215	339	1231
216	340	1226
217	340	1222
218	341	1218
219	342	1213
220	343	1209
221	344	1205
222	344	1201
223	345	1198
224	346	1193
225	347	1189
226	348	1185
227	349	1182
228	349	1178
229	350	1174
230	351	1171
231	352	1167
232	353	1163
233	354	1159
234	355	1155
235	355	1152
236	356	1148
237	357	1144
238	358	1141
239	359	1137
240	360	1134
241	360	1130
242	361	1126
243	362	1123
244	363	1119
245	364	1116
246	365	1112
247	366	1109
248	366	1106
249	367	1103
250	368	1099
251	369	1096
252	370	1092
253	370	1089
254	371	1085
255	372	1082
256	381	1103
257	382	1100
258	383	1097
259	384	1094
260	385	1090
261	385	1087
262	386	1083
263	387	1080
264	388	1077
265	389	1074
266	390	1071
267	391	1068
268	391	1065
269	392	1061
270	393	1058
271	394	1055
272	395	1052
273	396	1050
274	397	1047
275	398	1044
276	399	1041
277	399	1038
278	400	1035
279	401	1032
280	402	1029
281	403	1026
282	403	1023
283	404	1020
284	405	1017
285	406	1014
286	407	1011
287	407	1008
288	408	1006
289	409	1003
290	410	1000
291	411	998
292	412	995
293	413	993
294	414	990
295	415	987
296	416	984
297	416	982
298	417	979
299	418	977
300	419	974
301	420	972
302	421	969
303	422	966
304	423	964
305	423	961
306	424	958
307	425	956
308	426	954
309	427	952
310	428	949
311	429	946
312	430	944
313	430	941
314	431	938
315	432	936
316	433	934
317	434	931
318	435	929
319	436	926
320	437	924
321	437	921
322	438	919
323	439	916
324	440	914
325	441	912
326	442	909
327	442	907
328	443	905
329	444	902
330	445	900
331	446	897
332	447	895
333	448	893
334	448	891
335	449	888
336	450	886
337	451	884
338	452	881
339	453	879
340	454	877
341	454	875
342	455	873
343	456	870
344	457	868
345	458	866
346	459	864
347	460	861
348	460	859
349	461	857
350	462	855
351	463	853
352	464	850
353	465	848
354	465	846
355	467	844
356	468	843
357	469	841
358	469	839
359	471	837
360	472	835
361	472	833
362	473	831
363	474	829
364	475	827
365	476	825
366	477	822
367	477	820
368	478	818
369	479	816
370	480	814
371	481	812
372	482	810
373	482	808
374	483	806
375	484	804
376	485	802
377	486	800
378	487	798
379	488	796
380	489	794
381	489	792
382	490	790
383	491	788
384	492	786
385	493	785
386	494	783
387	495	781
388	496	779
389	497	777
390	497	775
391	498	773
392	499	771
393	500	769
394	501	768
395	502	766
396	503	764
397	503	762
398	504	760
399	505	758
400	506	756
401	507	754
402	508	753
403	509	751
404	510	749
405	510	747
406	511	745
407	512	743
408	513	741
409	514	739
410	514	737
411	515	736
412	516	734
413	517	732
414	518	730
415	519	728
416	519	726
417	520	725
418	521	723
419	522	721
420	523	720
421	524	718
422	525	716
423	526	715
424	527	713
425	528	712
426	529	710
427	530	708
428	531	706
429	531	705
430	532	703
431	533	701
432	534	700
433	535	698
434	536	696
435	537	695
436	538	693
437	539	691
438	540	690
439	540	688
440	541	686
441	542	685
442	543	683
443	544	681
444	545	679
445	546	678
446	547	676
447	548	675
448	549	673
449	550	672
450	551	670
451	551	669
452	552	667
453	553	665
454	554	664
455	555	662
456	556	660
457	557	659
458	557	657
459	558	655
460	559	654
461	560	652
462	561	650
463	562	649
464	563	647
465	563	646
466	564	644
467	565	642
468	566	641
469	567	639
470	567	637
471	568	636
472	569	634
473	570	633
474	571	631
475	572	629
476	572	628
477	573	626
478	574	624
479	575	623
480	576	621
481	577	620
482	577	618
483	578	617
484	579	615
485	580	613
486	581	612
487	581	610
488	582	608
489	583	607
490	584	605
491	585	604
492	586	602
493	587	601
494	587	599
495	588	598
496	589	596
497	590	595
498	591	593
499	592	592
500	592	590
501	593	588
502	594	587
503	595	585
504	596	584
505	596	582
506	597	581
507	598	579
508	599	578
509	600	576
510	600	575
511	601	573
512	602	572
513	603	570
514	604	569
515	605	567
516	606	566
517	607	564
518	607	563
519	608	561
520	609	560
521	610	558
522	610	557
523	611	555
524	612	554
525	613	552
526	614	551
527	615	549
528	616	548
529	616	547
530	617	545
531	618	544
532	619	542
533	620	541
534	621	539
535	621	538
536	622	536
537	623	535
538	624	533
539	625	532
540	625	531
541	626	529
542	627	528
543	628	526
544	629	525
545	630	524
546	631	522
547	631	521
548	632	519
549	633	518
550	634	516
551	635	515
552	636	514
553	637	512
